"","SqlTrace"
"13392","exec sp_cursorclose 180153073"
"13393","declare @p1 int
set @p1=180153075
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select WSReserved_CB2 from SV00310 Where Type_of_Problem = ''SOUMISSION CHAUFFAGE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13394","exec sp_cursorfetch 180153075,16,1,1"
"13395","exec sp_cursorclose 180153075"
"13396","declare @p1 int
set @p1=180153077
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select PM00200.*  , isnull(hs_Partenaire_CVAC.faxService, '''') as faxCVACService , isnull(hs_Partenaire_CVAC.courrielService, '''') as courrielCVACService   , isnull(hs_Partenaire_CVAC.faxSoumission, '''') as faxCVACSoumission  , isnull(hs_Partenaire_CVAC.courrielSoumission, '''') as courrielCVACSoumission  from  PM00200  left join hs_Partenaire_CVAC on PM00200.VendorId = hs_Partenaire_CVAC.vendorid where VENDNAME = ''CONFORT EXPERT''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13397","exec sp_cursorfetch 180153077,16,1,1"
"13398","declare @p1 int
set @p1=180153079
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select TOP 1 LOCNCODE from IV40700 where LOCNDSCR = ''CONFORT EXPERT'' ORDER BY DEX_ROW_ID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13399","exec sp_cursorfetch 180153079,16,1,1"
"13400","exec sp_cursorclose 180153079"
"13401","declare @p1 int
set @p1=180153081
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT EstSPA FROM sv00405 WHERE Equipment_Type= ''''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13402","exec sp_cursorfetch 180153081,16,1,1"
"13403","exec sp_cursorclose 180153081"
"13404","exec sp_cursorclose 180153077"
"13405","declare @p1 int
set @p1=180153083
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT *, IsNull(GMP_POSTAL.VenteSeul, 0) as VenteSeulement, IsNull(GMP_POSTAL.PasService, 1) as PasService, IsNull(GMP_POSTAL.SiSPA, 0) as SiSPA FROM HS_Client WITH(NOLOCK) LEFT JOIN GMP_POSTAL ON GMP_POSTAL.Postal = left(REPLACE(HS_Client.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(REPLACE(HS_Client.ZIP, '' '', ''''), LEN(gmp_Postal.Postal)))) WHERE HS_Client.CUSTNMBR = ''CL00546740''  AND HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13406","exec sp_cursorfetch 180153083,16,1,1"
"13407","declare @p1 int
set @p1=180153085
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'  SELECT (AGPERAMT_2+AGPERAMT_3) as Tot3089, (AGPERAMT_4+AGPERAMT_5+AGPERAMT_6+AGPERAMT_7) as Tot90Plus  FROM HYSEC..RM00103 WHERE CUSTNMBR=''CR00860358''     AND CUSTBLNC > 0 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13408","exec sp_cursorfetch 180153085,16,1,1"
"13409","exec sp_cursorclose 180153085"
"13410","declare @p1 int
set @p1=180153087
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' select CUSTNMBR from HS_CHANGEMENT_ADRESSE  where CUSTNMBR =''CL00546740''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13411","exec sp_cursorfetch 180153087,16,1,1"
"13412","exec sp_cursorclose 180153087"
"13413","exec sp_cursorclose 180153083"
"13414","declare @p1 int
set @p1=180153089
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM RM00102  WHERE CUSTNMBR = ''CC00860358''    AND ADRSCODE = ''CVAC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13415","exec sp_cursorfetch 180153089,16,1,1"
"13416","declare @p1 int
set @p1=180153091
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''127''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13417","exec sp_cursorfetch 180153091,16,1,1"
"13418","exec sp_cursorclose 180153091"
"13419","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13420","UPDATE RM00102 SET        SHIPMTHD = 'LIVRAISON'       , TAXSCHID = 'TPS-TVQ/V'       , CNTCPRSN = 'CARLTON BRIAN'       , ADDRESS1 = '1040 AV BROWN'       , ADDRESS2 = ''       , COUNTRY = 'CANADA'       , CITY = 'VERDUN'       , STATE = 'QUÉBEC'       , ZIP = 'H4H 2A8'       , PHONE1 = '5147356368'       , PHONE2 = '00000000000000'       , FAX = '00000000000000' WHERE CUSTNMBR = 'CC00860358'   AND ADRSCODE = 'CVAC'"
"13421","UPDATE RM00102 SET        SHIPMTHD = 'LIVRAISON'       , TAXSCHID = 'TPS-TVQ/V'       , CNTCPRSN = 'CARLTON BRIAN'       , ADDRESS1 = '1040 AV BROWN'       , ADDRESS2 = ''       , COUNTRY = 'CANADA'       , CITY = 'VERDUN'       , STATE = 'QUÉBEC'       , ZIP = 'H4H 2A8'       , PHONE1 = '5147356368'       , PHONE2 = '00000000000000'       , FAX = '00000000000000' WHERE CUSTNMBR = 'CC00860358'   AND ADRSCODE = 'CVAC'"
"13422","exec sp_cursorclose 180153089"
"13423","declare @p1 int
set @p1=180153093
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM RM00101  WHERE CUSTNMBR = ''CC00860358''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13424","exec sp_cursorfetch 180153093,16,1,1"
"13425","declare @p1 int
set @p1=180153095
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''127''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13426","exec sp_cursorfetch 180153095,16,1,1"
"13427","exec sp_cursorclose 180153095"
"13428","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13429","UPDATE RM00101 SET  CUSTNMBR = 'CC00860358',  CUSTNAME = 'CARLTON BRIAN',  CUSTCLAS = 'ALL',  CPRCSTNM = '00831786355',  CNTCPRSN = 'CARLTON BRIAN',  ADRSCODE = 'CVAC' ,  SHIPMTHD = 'LIVRAISON',  TAXSCHID = 'TPS-TVQ/V',  ADDRESS1 = '1040 AV BROWN',  ADDRESS2 = '',  COUNTRY = 'CANADA',  CITY = 'VERDUN',  STATE = 'QUÉBEC',  ZIP = 'H4H 2A8',  PHONE1 = '5147356368',  PHONE2 = '00000000000000',  FAX = '00000000000000',  CHEKBKID = 'BN',  PYMTRMID = 'NET 30',  CRLMTTYP = '1',  PRCLEVEL = 'RES',  FNCHPCNT= '150', FNCHATYP = '1' , STMTCYCL = '5',  SALSTERR = '10',  KPDSTHST = '1',  KPCALHST = '1',  STMTNAME = 'CARLTON BRIAN',  SHRTNAME = 'CVAC' ,  PRBTADCD = 'CVAC' ,  PRSTADCD = 'CVAC' ,  STADDRCD = 'CVAC' ,  NOTEINDX = '170',  KPERHIST = '1',  KPTRXHST = '1'  WHERE CUSTNMBR = 'CC00860358'"
"13430","UPDATE RM00101 SET  CUSTNMBR = 'CC00860358',  CUSTNAME = 'CARLTON BRIAN',  CUSTCLAS = 'ALL',  CPRCSTNM = '00831786355',  CNTCPRSN = 'CARLTON BRIAN',  ADRSCODE = 'CVAC' ,  SHIPMTHD = 'LIVRAISON',  TAXSCHID = 'TPS-TVQ/V',  ADDRESS1 = '1040 AV BROWN',  ADDRESS2 = '',  COUNTRY = 'CANADA',  CITY = 'VERDUN',  STATE = 'QUÉBEC',  ZIP = 'H4H 2A8',  PHONE1 = '5147356368',  PHONE2 = '00000000000000',  FAX = '00000000000000',  CHEKBKID = 'BN',  PYMTRMID = 'NET 30',  CRLMTTYP = '1',  PRCLEVEL = 'RES',  FNCHPCNT= '150', FNCHATYP = '1' , STMTCYCL = '5',  SALSTERR = '10',  KPDSTHST = '1',  KPCALHST = '1',  STMTNAME = 'CARLTON BRIAN',  SHRTNAME = 'CVAC' ,  PRBTADCD = 'CVAC' ,  PRSTADCD = 'CVAC' ,  STADDRCD = 'CVAC' ,  NOTEINDX = '170',  KPERHIST = '1',  KPTRXHST = '1'  WHERE CUSTNMBR = 'CC00860358'"
"13431","exec sp_cursorclose 180153093"
"13432","declare @p1 int
set @p1=180153097
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM RM00103  WHERE CUSTNMBR = ''CC00860358'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13433","exec sp_cursorfetch 180153097,16,1,1"
"13434","exec sp_cursorclose 180153097"
"13435","declare @p1 int
set @p1=180153099
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT *  FROM hs_Maximiser  WHERE CustNmbr= ''CL00546740''   AND AdrsCode= ''SERVICE''   AND Service_Call_ID= ''161021-0001''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13436","exec sp_cursoroption 180153099,1,0"
"13437","exec sp_cursorfetch 180153099,16,1,1"
"13438","exec sp_cursoroption 180153099,3,12"
"13439","exec sp_cursor 180153099,40,1"
"13440","exec sp_cursor 180153099,40,1"
"13441","exec sp_cursorclose 180153099"
"13442","declare @p1 int
set @p1=180153101
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT *, IsNull(GMP_POSTAL.VenteSeul, 0) as VenteSeulement, IsNull(GMP_POSTAL.PasService, 1) as PasService, IsNull(GMP_POSTAL.SiSPA, 0) as SiSPA FROM HS_Client WITH(NOLOCK) LEFT JOIN GMP_POSTAL ON GMP_POSTAL.Postal = left(REPLACE(HS_Client.ZIP, '' '', ''''), (select max(LEN(Postal)) from GMP_POSTAL Where Postal = LEFT(REPLACE(HS_Client.ZIP, '' '', ''''), LEN(gmp_Postal.Postal)))) WHERE HS_Client.CUSTNMBR = ''CL00546740''  AND HS_Client.ADRSCODE = ''SERVICE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13443","exec sp_cursorfetch 180153101,16,1,1"
"13444","declare @p1 int
set @p1=180153103
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'  SELECT (AGPERAMT_2+AGPERAMT_3) as Tot3089, (AGPERAMT_4+AGPERAMT_5+AGPERAMT_6+AGPERAMT_7) as Tot90Plus  FROM HYSEC..RM00103 WHERE CUSTNMBR=''CR00860358''     AND CUSTBLNC > 0 ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13445","exec sp_cursorfetch 180153103,16,1,1"
"13446","exec sp_cursorclose 180153103"
"13447","declare @p1 int
set @p1=180153105
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=2
exec sp_cursoropen @p1 output,N' select CUSTNMBR from HS_CHANGEMENT_ADRESSE  where CUSTNMBR =''CL00546740''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13448","exec sp_cursorfetch 180153105,16,1,1"
"13449","exec sp_cursorclose 180153105"
"13450","exec sp_cursorclose 180153101"
"13451","declare @p1 int
set @p1=180153107
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13452","exec sp_cursorfetch 180153107,16,1,1"
"13453","exec sp_cursorclose 180153107"
"13454","declare @p1 int
set @p1=180153109
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' SELECT NOM_VILLE from GMP_VILLE  where ID_VILLE = ''127''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13455","exec sp_cursorfetch 180153109,16,1,1"
"13456","exec sp_cursorclose 180153109"
"13457","declare @p1 int
set @p1=180153111
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00546740''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = ''161021-0001'' AND WS_Note_Type = ''S'' AND Note_Service_Index = '''' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13458","exec sp_cursoroption 180153111,1,0"
"13459","exec sp_cursorfetch 180153111,16,1,1"
"13460","exec sp_cursoroption 180153111,3,62"
"13461","exec sp_cursor 180153111,40,1"
"13462","exec sp_cursorclose 180153111"
"13463","declare @p1 int
set @p1=180153113
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13464","exec sp_cursorfetch 180153113,16,1,1"
"13465","exec sp_cursorclose 180153113"
"13466","declare @p1 int
set @p1=180153115
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT TOP 1 *  FROM GMP_SOUMISSION WITH(NOLOCK) WHERE CUSTNMBR =''CL00546740'' and ( (Active = ''1'' and Createur_Date > DATEADD(day, -31, getdate()) or (Active = ''1'' and Statut = 3 and (select COUNT(*) from HS_Appel where HS_Appel.CUSTNMBR = GMP_SOUMISSION.CUSTNMBR and  Type_of_Problem = ''nouvelle installation'' and HS_Appel.Contract_Number = GMP_SOUMISSION.Soumission_Number AND Status_of_Call != ''COMPLETE'') > 1))  or (Active = ''0'' and dateadd(day, (select NBJourGarantieModifiable from gmp_garantie where DateDebut <= GetDate() and DateFin >= GetDate() and visible = 1 and  IDGarantiePrincipale = GMP_SOUMISSION.IDGarantie and idgarantieprincipale <> ''''), Soumission_Start_Date) > CONVERT(DATETIME,''2016-11-10'') )) ORDER BY SOUMISSION_NUMBER DESC',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13467","exec sp_cursorfetch 180153115,16,1,1"
"13468","declare @p1 int
set @p1=180153117
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 isnull(TypeTarifID, '''') from GMP_TYPESTARIFS where EstSPA= 0 AND TarifCondo= 0  AND ACTIF= 1 AND DateEffectif <= GETDATE()  order by DateEffectif desc, TypeTarifID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13469","exec sp_cursorfetch 180153117,16,1,1"
"13470","exec sp_cursorclose 180153117"
"13471","declare @p1 int
set @p1=180153119
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'select top 1 isnull(TypeTarifID, '''') from GMP_TYPESTARIFS where EstSPA=1  AND ACTIF= 1 AND DateEffectif <= GETDATE()  order by DateEffectif desc, TypeTarifID',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13472","exec sp_cursorfetch 180153119,16,1,1"
"13473","exec sp_cursorclose 180153119"
"13474","exec sp_cursorclose 180153115"
"13475","declare @p1 int
set @p1=180153121
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=0
exec sp_cursoropen @p1 output,N'SELECT * FROM SV000805  WHERE CUSTNMBR = ''CL00546740''  AND ADRSCODE = ''SERVICE''  AND Reference_ID = '''' AND WS_Note_Type = ''M'' AND Note_Service_Index = '''' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13476","exec sp_cursoroption 180153121,1,0"
"13477","exec sp_cursorfetch 180153121,16,1,1"
"13478","exec sp_cursorclose 180153121"
"13479","declare @p1 int
set @p1=180153123
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT FName + '' '' + LName FROM GMP_USAGERS WHERE UsagerID = ''ED50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13480","exec sp_cursorfetch 180153123,16,1,1"
"13481","exec sp_cursorclose 180153123"
"13482","declare @p1 int
set @p1=180153125
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT * FROM GMP_USAGERS WITH(NOLOCK) WHERE UsagerID = ''ed50617RSC'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13483","exec sp_cursorfetch 180153125,16,1,1"
"13484","exec sp_cursorclose 180153125"
"13485","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13486","INSERT INTO GMP_COURRIELS (To_Address, From_Address, Subject, Body, Request_Date,Piece_Jointe, envoyer)  VALUES ('martinruest@progiclix.com', 'HydroSoft@hydrosolution.com', 'TEST - Demande 2016-11-10 08:29:04', 'Demande du client        : 161021-0001
Type de Programme        : VENTE
Type de demande          : SOUMISSION CHAUFFAGE
                         : 
Creer par                : Evelyne Djuikom RSC
Adresse de Service       : 1040 AV BROWN
Ville                    : VERDUN H4H 2A8 
Prendre rendez-vous avec : CARLTON BRIAN (514) 735-6368  Ext. 
Telephone Secondaire     : (000) 000-0000  Ext. 0000

Note                     : Evelyne Djuikom RSC 2016-11-10 08:28
Contacter MMe CArlton au 514-208-9999, pour son installation...appeler avant 18h du lundi au vendredi seulement...TESTN1





========= INFORMATIONS MAXIMISER ==========
Provenance                             :  Camions
Propriétaire                           :  OUI
Type d''installation actuelle           :  Air Climatise centrale
Source d''energie actuelle              :  Electrique
Nombre de logements                    :  0-3 logement (ok)
Achat (Type de produit pour soumission):  Air conditionné central
Boîte électrique (min 200 amp)         :  Ne sait pas
Date / Heure rendez-vous               :  2016-11-10 / 
Représentant                           :  

Commentaires                           :
----------------------------------------
test askida cas d""utilisation N1

=========Createur de la demande==========

Nom d''usager : (ed50617RSC) - Evelyne Djuikom RSC
Environnement: DEV01-HS\DEV / HYSEC', CONVERT(DATETIME,'2016-11-10 08:29:05'), '', 0)"
"13487","INSERT INTO GMP_COURRIELS (To_Address, From_Address, Subject, Body, Request_Date,Piece_Jointe, envoyer)  VALUES ('martinruest@progiclix.com', 'HydroSoft@hydrosolution.com', 'TEST - Demande 2016-11-10 08:29:04', 'Demande du client        : 161021-0001
Type de Programme        : VENTE
Type de demande          : SOUMISSION CHAUFFAGE
                         : 
Creer par                : Evelyne Djuikom RSC
Adresse de Service       : 1040 AV BROWN
Ville                    : VERDUN H4H 2A8 
Prendre rendez-vous avec : CARLTON BRIAN (514) 735-6368  Ext. 
Telephone Secondaire     : (000) 000-0000  Ext. 0000

Note                     : Evelyne Djuikom RSC 2016-11-10 08:28
Contacter MMe CArlton au 514-208-9999, pour son installation...appeler avant 18h du lundi au vendredi seulement...TESTN1





========= INFORMATIONS MAXIMISER ==========
Provenance                             :  Camions
Propriétaire                           :  OUI
Type d''installation actuelle           :  Air Climatise centrale
Source d''energie actuelle              :  Electrique
Nombre de logements                    :  0-3 logement (ok)
Achat (Type de produit pour soumission):  Air conditionné central
Boîte électrique (min 200 amp)         :  Ne sait pas
Date / Heure rendez-vous               :  2016-11-10 / 
Représentant                           :  

Commentaires                           :
----------------------------------------
test askida cas d""utilisation N1

=========Createur de la demande==========

Nom d''usager : (ed50617RSC) - Evelyne Djuikom RSC
Environnement: DEV01-HS\DEV / HYSEC', CONVERT(DATETIME,'2016-11-10 08:29:05'), '', 0)"
"13488","-- network protocol: TCP/IP
set quoted_identifier on
set arithabort off
set numeric_roundabort off
set ansi_warnings on
set ansi_padding on
set ansi_nulls on
set concat_null_yields_null on
set cursor_close_on_commit off
set implicit_transactions off
set language us_english
set dateformat mdy
set datefirst 7
set transaction isolation level read committed"
"13489","INSERT INTO GMP_FAX (To_Address, From_Address, Subject, Body, Request_Date,FAX_NUMBER)  VALUES ('martinruest@progiclix.com','HydroSoft@hydrosolution.com','Demande 2016-11-10 08:29:04','***** TEST ***** TEST ***** TEST *****

Demande du client        : 161021-0001
Type de Programme        : VENTE
Type de demande          : SOUMISSION CHAUFFAGE
                         : 
Creer par                : Evelyne Djuikom RSC
Adresse de Service       : 1040 AV BROWN
Ville                    : VERDUN H4H 2A8 
Prendre rendez-vous avec : CARLTON BRIAN (514) 735-6368  Ext. 
Telephone Secondaire     : (000) 000-0000  Ext. 0000

Note                     : Evelyne Djuikom RSC 2016-11-10 08:28
Contacter MMe CArlton au 514-208-9999, pour son installation...appeler avant 18h du lundi au vendredi seulement...TESTN1





========= INFORMATIONS MAXIMISER ==========
Provenance                             :  Camions
Propriétaire                           :  OUI
Type d''installation actuelle           :  Air Climatise centrale
Source d''energie actuelle              :  Electrique
Nombre de logements                    :  0-3 logement (ok)
Achat (Type de produit pour soumission):  Air conditionné central
Boîte électrique (min 200 amp)         :  Ne sait pas
Date / Heure rendez-vous               :  2016-11-10 / 
Représentant                           :  

Commentaires                           :
----------------------------------------
test askida cas d""utilisation N1

=========Createur de la demande==========

Nom d''usager : (ed50617RSC) - Evelyne Djuikom RSC
Environnement: DEV01-HS\DEV / HYSEC

***** TEST ***** TEST ***** TEST *****',CONVERT(DATETIME,'2016-11-10 08:29:05'), '5146405855')"
"13490","INSERT INTO GMP_FAX (To_Address, From_Address, Subject, Body, Request_Date,FAX_NUMBER)  VALUES ('martinruest@progiclix.com','HydroSoft@hydrosolution.com','Demande 2016-11-10 08:29:04','***** TEST ***** TEST ***** TEST *****

Demande du client        : 161021-0001
Type de Programme        : VENTE
Type de demande          : SOUMISSION CHAUFFAGE
                         : 
Creer par                : Evelyne Djuikom RSC
Adresse de Service       : 1040 AV BROWN
Ville                    : VERDUN H4H 2A8 
Prendre rendez-vous avec : CARLTON BRIAN (514) 735-6368  Ext. 
Telephone Secondaire     : (000) 000-0000  Ext. 0000

Note                     : Evelyne Djuikom RSC 2016-11-10 08:28
Contacter MMe CArlton au 514-208-9999, pour son installation...appeler avant 18h du lundi au vendredi seulement...TESTN1





========= INFORMATIONS MAXIMISER ==========
Provenance                             :  Camions
Propriétaire                           :  OUI
Type d''installation actuelle           :  Air Climatise centrale
Source d''energie actuelle              :  Electrique
Nombre de logements                    :  0-3 logement (ok)
Achat (Type de produit pour soumission):  Air conditionné central
Boîte électrique (min 200 amp)         :  Ne sait pas
Date / Heure rendez-vous               :  2016-11-10 / 
Représentant                           :  

Commentaires                           :
----------------------------------------
test askida cas d""utilisation N1

=========Createur de la demande==========

Nom d''usager : (ed50617RSC) - Evelyne Djuikom RSC
Environnement: DEV01-HS\DEV / HYSEC

***** TEST ***** TEST ***** TEST *****',CONVERT(DATETIME,'2016-11-10 08:29:05'), '5146405855')"
"13491","declare @p1 int
set @p1=180153127
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N' select WSReserved_CB2 from SV00310 Where Type_of_Problem = ''SOUMISSION CHAUFFAGE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13492","exec sp_cursorfetch 180153127,16,1,1"
"13493","exec sp_cursorclose 180153127"
"13494","declare @p1 int
set @p1=180153129
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT Problem_ID FROM sv00310 WHERE Type_of_Problem= ''SOUMISSION CHAUFFAGE''',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13495","exec sp_cursorfetch 180153129,16,1,1"
"13496","exec sp_cursorclose 180153129"
"13497","declare @p1 int
set @p1=180153131
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=10
exec sp_cursoropen @p1 output,N'SELECT DISTINCT Resolution_ID,rtrim(Resolution_Description)as Resolution_Description  FROM SV00394  WHERE (Service_User_Define_5 = ''1''  AND Article_ID= ''491'' )  ORDER BY Resolution_Description ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13498","exec sp_cursorfetch 180153131,16,1,1"
"13499","exec sp_cursorfetch 180153131,16,2,1"
"13500","exec sp_cursorfetch 180153131,16,3,1"
"13501","exec sp_cursorfetch 180153131,16,4,1"
"13502","exec sp_cursorfetch 180153131,16,5,1"
"13503","exec sp_cursorfetch 180153131,16,6,1"
"13504","exec sp_cursorfetch 180153131,16,7,1"
"13505","exec sp_cursorfetch 180153131,16,8,1"
"13506","exec sp_cursorfetch 180153131,16,9,1"
"13507","exec sp_cursorfetch 180153131,16,10,1"
"13508","exec sp_cursorfetch 180153131,16,11,1"
"13509","declare @p1 int
set @p1=180153133
declare @p3 int
set @p3=8
declare @p4 int
set @p4=1
declare @p5 int
set @p5=1
exec sp_cursoropen @p1 output,N'SELECT WSReserved_CB2 FROM SV00310 WHERE Type_of_Problem = ''SOUMISSION CHAUFFAGE'' ',@p3 output,@p4 output,@p5 output
select @p1, @p3, @p4, @p5"
"13510","exec sp_cursorfetch 180153133,16,1,1"
"13511","exec sp_cursorclose 180153133"
